"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",35.11,35.3,35.01,35.1,39.6,32.1,43.6,29.6,48.5,45.5,45.7,28.6,45.6,29.9,38.6,29,46,31.7,29.5
"2015-11-23",34.97,35.04,34.7601,34.8,39.6,32.1,43.6,29.6,48.5,45.5,45.7,28.6,45.6,29.9,38.6,29,46,31.7,29.5
"2015-11-24",34.555,35.03,34.525,34.965,39.6,32.1,43.6,29.6,48.5,45.5,45.7,28.6,45.6,29.9,38.6,29,46,31.7,29.5
"2015-11-25",34.75,34.78,34.57,34.71,39.6,32.1,43.6,29.6,48.5,45.5,45.7,28.6,45.6,29.9,38.6,29,46,31.7,29.5
"2015-11-27",34.24,34.25,33.9,33.95,39.6,32.1,43.6,29.6,48.5,45.5,45.7,28.6,45.6,29.9,38.6,29,46,31.7,29.5
"2015-11-30",33.85,34.03,33.77,33.99,39.6,32.1,43.6,29.6,48.5,45.5,45.7,28.6,45.6,29.9,38.6,29,46,31.7,29.5
"2015-12-01",34.16,34.3,34.09,34.25,39.6,32.1,43.6,29.6,48.5,45.5,45.7,28.6,45.6,29.9,38.6,29,46,31.7,29.5
"2015-12-02",34.05,34.1,33.7,33.84,39.6,32.1,43.6,29.6,48.5,45.5,45.7,28.6,45.6,29.9,38.6,29,46,31.7,29.5
"2015-12-03",33.95,33.99,33.52,33.65,39.6,32.1,43.6,29.6,48.5,45.5,45.7,28.6,45.6,29.9,38.6,29,46,31.7,29.5
"2015-12-04",33.37,33.94,33.37,33.88,39.6,32.1,43.6,29.6,48.5,45.5,45.7,28.6,45.6,29.9,38.6,29,46,31.7,29.5
"2015-12-07",33.56,33.58,33.23,33.325,39.6,32.1,43.6,29.6,48.5,45.5,45.7,28.6,45.6,29.9,38.6,29,46,31.7,29.5
"2015-12-08",32.67,32.98,32.56,32.95,39.6,32.1,43.6,29.6,48.5,45.5,45.7,28.6,45.6,29.9,38.6,29,46,31.7,29.5
"2015-12-10",32.585,32.72,32.39,32.4592,39.6,32.1,43.6,29.6,48.5,45.5,45.7,28.6,45.6,29.9,38.6,29,46,31.7,29.5
