"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","h25","h26","h27","h28","h29","h30","h31","h32","h33","h34","h35","h36","h37","h38","h39","h40","h41","h42","h43","h44","h45","h46","h47","h48","h49","h50","h51","h52","h53","h54","h55","h56","h57","h58","h59","h60","h61","h62","h63","h64","h65","h66","h67","h68","h69","h70","h71","h72","h73","h74","h75","h76","h77","h78","h79","h80","h81","h82","h83","h84","h85","h86","h87","h88","h89","h90","h91","h92","h93","h94","h95","h96","h97","h98","h99","h100","h101","h102","h103"
"2018-10-15",39.94,40.14,39.78,39.84,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2018-10-16",40.36,40.9,40.29,40.86,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2018-10-17",40.55,40.58,40.16,40.34,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2018-10-18",39.93,39.96,39.16,39.33,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2018-10-19",39.91,40.16,39.3,39.69,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2018-10-22",40.34,40.42,39.92,40.09,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2018-10-23",39.15,39.89,38.93,39.67,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2018-10-24",39.46,39.51,38.36,38.38,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2018-10-25",38.82,39.39,38.71,39.09,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
"2018-10-26",38.31,38.97,38.13,38.68,40,39.2,39.3,38.8,38.3,39.6,40.8,40.7,40.4,39.7,39.6,39.3,39.2,39.1,40.2,40.3,40.3,39.6,39.7,39.8,39.5,39.4,39.9,40.2,39.7,39.8,41,39.9,39.8,40.2,39.7,39.9,39.8,39.6,39.7,39.5,39.4,39.3,39.2,39.1,39,39.8,39.7,39.6,39.5,39.1,39.2,39,38.6,38.5,38.4,38.3,38.2,38.4,38.3,38.2,38.4,38.3,42.1,42,41.9,43,42.5,42.4,41.5,40.1,40.4,40.6,40.7,41,41.1,40.5,40.5,41,41.1,41.2,41.5,41.5,41.4,41.3,38.9,38.9,39.5,40.6,40.7,40.4,40.8,41.1,41.2,41.3,41.4,41.5,41.6,41.7,41.6,41.7,42,41.8,41.9,42.2,42.9,42.9,43
