"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13"
"2019-02-11",42.24,42.26,42,42.01,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-02-12",42.37,42.55,42.31,42.37,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-02-13",42.39,42.47,41.97,42.06,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-02-14",41.82,42.3,41.74,42.14,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-02-15",42.13,42.13,41.95,42.1,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-02-19",41.93,42.51,41.93,42.41,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-02-20",42.65,42.93,42.54,42.66,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-02-21",42.63,42.67,42.37,42.57,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-02-22",42.93,43.16,42.84,43.05,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-02-25",43.52,43.73,43.42,43.51,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-02-26",43.22,43.52,43.19,43.38,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-02-27",43.1,43.16,42.85,43.01,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-02-28",42.72,42.74,42.44,42.46,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-03-01",42.78,42.81,42.41,42.48,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-03-04",42.72,42.78,42.18,42.55,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-03-05",42.75,43.04,42.66,42.97,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-03-06",42.99,43.05,42.66,42.72,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-03-07",42.48,42.49,41.87,41.94,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-03-08",41.45,41.68,41.39,41.65,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-03-11",42.01,42.47,42.01,42.42,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
"2019-03-12",42.64,42.75,42.55,42.66,42,42.8,43,42.9,42.6,42.5,42.4,42.3,42.2,42.9,43,42.2,42.7
