"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-03-12",42.64,42.75,42.55,42.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-13",42.66,42.75,42.55,42.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-14",42.52,42.54,42.29,42.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-15",42.85,43.14,42.82,43.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-18",43.39,43.58,43.33,43.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-19",43.62,43.74,43.48,43.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-20",43.44,44.01,43.14,43.64,43.3,43.3,43.3,43.3,43.1,43.1,43.1,43.1,NA,NA,NA,NA,NA,NA,NA
"2019-03-21",43.42,43.72,43.32,43.71,43.3,43.3,43.3,43.3,43.1,43.1,43.1,43.1,NA,NA,NA,NA,NA,NA,NA
"2019-03-22",43.04,43.15,42.39,42.41,43.3,43.3,43.3,43.3,43.1,43.1,43.1,43.1,42.4,42.4,42.4,42.4,NA,NA,NA
"2019-03-25",42.34,42.66,42.3,42.54,43.3,43.3,43.3,43.3,43.1,43.1,43.1,43.1,42.4,42.4,42.4,42.4,NA,NA,NA
"2019-03-26",42.67,42.78,42.43,42.64,43.3,43.3,43.3,43.3,43.1,43.1,43.1,43.1,42.4,42.4,42.4,42.4,NA,NA,NA
"2019-03-27",42.44,42.53,42.06,42.2,43.3,43.3,43.3,43.3,43.1,43.1,43.1,43.1,42.4,42.4,42.4,42.4,42.3,42.3,42.3
"2019-03-28",42.34,42.53,42.19,42.5,43.3,43.3,43.3,43.3,43.1,43.1,43.1,43.1,42.4,42.4,42.4,42.4,42.3,42.3,42.3
"2019-03-29",42.95,43,42.72,42.94,43.3,43.3,43.3,43.3,43.1,43.1,43.1,43.1,42.4,42.4,42.4,42.4,42.3,42.3,42.3
