"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",61.24,61.35,60.88,60.92,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-11-23",60.76,60.895,60.415,60.52,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-11-24",60.1,60.635,60.06,60.565,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-11-25",60.64,60.815,60.48,60.69,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-11-27",60.76,60.8,60.65,60.69,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-11-30",60.79,60.82,60.59,60.65,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-01",61.14,61.32,60.98,61.29,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-02",61.01,61.165,60.56,60.655,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-03",60.96,60.98,60.1,60.36,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-04",60.14,60.91,60.11,60.84,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-07",60.56,60.59,60.225,60.47,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-08",59.41,59.675,59.235,59.55,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-10",59.56,59.63,59.2201,59.3,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-11",58.5,58.5874,58.09,58.17,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-15",58.61,58.82,58.4165,58.55,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-16",59.22,59.84,58.95,59.72,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-17",59.66,59.67,58.96,58.97,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-18",58.65,58.77,58.35,58.35,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-22",58.29,58.63,58.09,58.56,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-24",59.28,59.59,59.28,59.43,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-29",59.73,60.03,59.715,59.88,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-30",59.65,59.74,59.4815,59.52,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2015-12-31",59.13,59.2,58.76,58.765,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2016-01-04",57.82,57.85,57.15,57.825,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2016-01-05",57.705,57.8,57.325,57.75,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2016-01-06",56.53,56.92,56.45,56.76,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
"2016-01-07",55.72,56.2,55.53,55.62,56.2,53.2,52,51.8,65.5,56.4,65.3,53.4,53.1,55.5,51.9,60.2,53.8,53,53.6
