"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-05-03",66.59,66.99,66.55,66.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-06",65.51,66.32,65.5,66.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-07",65.63,65.69,64.86,65.08,65.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-08",65.09,65.39,64.96,65.17,65.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-09",64.44,64.92,64.23,64.83,65.1,64.5,64.8,64.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-10",64.85,65.35,64.47,65.32,65.1,64.5,64.8,64.9,NA,NA,NA,NA,NA,NA,NA,NA,65.1,65.2,65.3
"2019-05-13",64.12,64.22,63.71,63.81,65.1,64.5,64.8,64.9,NA,NA,NA,NA,NA,NA,NA,NA,65.1,65.2,65.3
"2019-05-14",64.27,64.62,64.2,64.44,65.1,64.5,64.8,64.9,64.3,NA,NA,NA,NA,NA,NA,NA,65.1,65.2,65.3
"2019-05-15",63.98,64.79,63.95,64.71,65.1,64.5,64.8,64.9,64.3,64.7,NA,NA,NA,NA,NA,NA,65.1,65.2,65.3
"2019-05-16",64.92,65.41,64.91,65.19,65.1,64.5,64.8,64.9,64.3,64.7,NA,NA,NA,NA,NA,65,65.1,65.2,65.3
"2019-05-17",64.8,65.11,64.72,64.78,65.1,64.5,64.8,64.9,64.3,64.7,NA,NA,NA,NA,NA,65,65.1,65.2,65.3
"2019-05-20",64.51,64.73,64.35,64.53,65.1,64.5,64.8,64.9,64.3,64.7,64.4,NA,NA,NA,NA,65,65.1,65.2,65.3
"2019-05-21",64.86,65.03,64.7,64.96,65.1,64.5,64.8,64.9,64.3,64.7,64.4,NA,NA,NA,NA,65,65.1,65.2,65.3
"2019-05-22",64.62,64.84,64.61,64.69,65.1,64.5,64.8,64.9,64.3,64.7,64.4,NA,NA,NA,NA,65,65.1,65.2,65.3
"2019-05-23",64,64.16,63.82,64.08,65.1,64.5,64.8,64.9,64.3,64.7,64.4,64,63.8,64.1,NA,65,65.1,65.2,65.3
"2019-05-24",64.77,64.79,64.54,64.77,65.1,64.5,64.8,64.9,64.3,64.7,64.4,64,63.8,64.1,NA,65,65.1,65.2,65.3
"2019-05-28",64.73,64.84,64.13,64.13,65.1,64.5,64.8,64.9,64.3,64.7,64.4,64,63.8,64.1,NA,65,65.1,65.2,65.3
"2019-05-29",63.68,63.75,63.43,63.72,65.1,64.5,64.8,64.9,64.3,64.7,64.4,64,63.8,64.1,NA,65,65.1,65.2,65.3
"2019-05-30",63.82,63.99,63.74,63.97,65.1,64.5,64.8,64.9,64.3,64.7,64.4,64,63.8,64.1,63.9,65,65.1,65.2,65.3
"2019-05-31",63.13,63.47,63.07,63.43,65.1,64.5,64.8,64.9,64.3,64.7,64.4,64,63.8,64.1,63.9,65,65.1,65.2,65.3
"2019-06-03",63.59,63.87,63.41,63.76,65.1,64.5,64.8,64.9,64.3,64.7,64.4,64,63.8,64.1,63.9,65,65.1,65.2,65.3
