"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-03-21",110.15,110.3,110.03,110.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-22",109.75,109.82,109.3,109.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-25",109.4,110.04,109.34,110.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-26",109.98,110.22,109.94,110.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-27",109.9,110.05,109.41,109.74,109.7,109.7,109.7,109.5,109.5,109.5,109.4,109.4,109.4,NA,NA,NA,NA,NA,NA
"2019-03-28",109.56,109.99,109.51,109.98,109.7,109.7,109.7,109.5,109.5,109.5,109.4,109.4,109.4,NA,NA,NA,NA,NA,NA
"2019-03-29",110.19,110.34,109.95,110,109.7,109.7,109.7,109.5,109.5,109.5,109.4,109.4,109.4,NA,NA,NA,NA,NA,NA
"2019-04-01",110,110.09,109.76,109.82,109.7,109.7,109.7,109.5,109.5,109.5,109.4,109.4,109.4,NA,NA,NA,NA,NA,NA
"2019-04-02",109.89,109.96,109.56,109.81,109.7,109.7,109.7,109.5,109.5,109.5,109.4,109.4,109.4,109.6,109.6,109.6,NA,NA,NA
"2019-04-03",109.85,109.95,109.61,109.63,109.7,109.7,109.7,109.5,109.5,109.5,109.4,109.4,109.4,109.6,109.6,109.6,NA,NA,NA
"2019-04-04",109.7,109.89,109.57,109.61,109.7,109.7,109.7,109.5,109.5,109.5,109.4,109.4,109.4,109.6,109.6,109.6,NA,NA,NA
"2019-04-05",109.77,110.21,109.75,110.04,109.7,109.7,109.7,109.5,109.5,109.5,109.4,109.4,109.4,109.6,109.6,109.6,NA,NA,NA
"2019-04-08",109.96,109.97,109.58,109.59,109.7,109.7,109.7,109.5,109.5,109.5,109.4,109.4,109.4,109.6,109.6,109.6,NA,NA,NA
"2019-04-09",110.03,110.03,109.58,109.69,109.7,109.7,109.7,109.5,109.5,109.5,109.4,109.4,109.4,109.6,109.6,109.6,NA,NA,NA
"2019-04-10",109.75,109.93,109.69,109.87,109.7,109.7,109.7,109.5,109.5,109.5,109.4,109.4,109.4,109.6,109.6,109.6,NA,NA,NA
"2019-04-11",109.53,109.71,109.4,109.49,109.7,109.7,109.7,109.5,109.5,109.5,109.4,109.4,109.4,109.6,109.6,109.6,NA,NA,NA
"2019-04-12",109.31,109.68,109.31,109.48,109.7,109.7,109.7,109.5,109.5,109.5,109.4,109.4,109.4,109.6,109.6,109.6,109.3,109.3,109.3
