"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",23.47,23.5,23.21,23.24,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-11-23",23.19,23.37,23.06,23.07,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-11-24",23.1,23.385,23.084,23.27,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-11-25",23.22,23.38,23.14,23.24,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-11-27",23.14,23.2,23.05,23.11,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-11-30",23.08,23.345,23.08,23.27,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-01",23.32,23.62,23.31,23.59,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-02",23.5,23.66,23.2449,23.3,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-03",23.41,23.45,22.99,23.06,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-04",23.01,23.11,22.9011,23.1,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-07",22.78,22.8,22.2409,22.29,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-08",21.97,22.1799,21.85,21.97,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-09",21.98,22.49,21.88,22.08,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-10",21.98,22.3,21.98,22.08,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-11",21.84,21.8572,21.52,21.555,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-14",21.53,21.63,21.25,21.43,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-15",21.65,21.92,21.65,21.83,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-16",21.89,22.18,21.8,22.13,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-17",21.99,22.05,21.545,21.63,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-18",21.56,21.76,21.55,21.635,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-21",21.53,21.58,21.2331,21.33,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-22",21.38,21.5,21.21,21.45,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-24",21.98,22.06,21.945,21.98,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-29",21.87,21.97,21.79,21.9,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-30",21.86,21.87,21.59,21.65,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2015-12-31",21.52,21.59,21.42,21.5,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-04",21.15,21.19,20.86,21.19,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-05",21.19,21.2405,20.91,21.09,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-06",20.71,20.85,20.555,20.625,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-07",20.24,20.43,20.125,20.14,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-08",20.27,20.3,20.03,20.05,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-11",20.19,20.2,19.58,19.78,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-12",19.91,20.04,19.49,19.82,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-13",20,20.11,19.265,19.38,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-14",19.34,19.725,19.155,19.65,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-15",18.96,19.21,18.79,18.97,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-19",19.09,19.11,18.68,18.89,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-20",18.46,18.84,18.07,18.65,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-21",18.79,19.345,18.66,19.25,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-22",19.87,20.06,19.79,20.01,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-25",19.83,19.91,19.44,19.48,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-26",19.72,20.15,19.67,20.03,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-27",19.98,20.43,19.83,20.06,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-28",20.45,20.59,20.2,20.54,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-01-29",20.73,20.91,20.51,20.91,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-01",20.73,20.885,20.49,20.81,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-02",20.36,20.365,20.17,20.29,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-03",20.69,20.94,20.205,20.9,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-04",21.12,21.46,21,21.26,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-05",21.14,21.185,20.91,20.98,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-08",20.7208,20.74,20.45,20.58,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-09",20.4,20.58,20.02,20.2,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-10",20.24,20.48,19.96,19.99,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-11",19.66,19.83,19.4829,19.79,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-12",19.99,20.425,19.99,20.41,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-16",20.68,20.72,20.33,20.72,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-17",21,21.55,20.97,21.55,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-18",21.67,21.67,21.38,21.53,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-19",21.2,21.32,21.04,21.29,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-22",21.61,21.745,21.43,21.45,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-23",21.35,21.5525,21.12,21.18,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-24",20.89,21.275,20.59,21.23,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-25",21.32,21.5273,21.2,21.49,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-26",21.7,21.83,21.575,21.63,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-02-29",21.68,21.825,21.585,21.63,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-01",21.88,22.15,21.825,22.11,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-02",22.01,22.15,21.77,22.15,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-03",22.13,22.465,22.1,22.39,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-04",22.44,22.73,22.43,22.62,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-07",22.54,23.135,22.54,23.025,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-08",22.85,22.9,22.59,22.68,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-09",22.8,23.205,22.8,23.1,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-11",23.25,23.44,23.22,23.39,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-14",23.3,23.35,23.11,23.26,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-15",22.97,22.99,22.73,22.99,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-16",23.12,23.545,22.9899,23.49,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-17",23.84,24.08,23.65,23.97,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-18",24.01,24.035,23.66,23.71,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-21",23.63,23.77,23.55,23.71,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-22",23.58,23.78,23.57,23.7,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-23",23.53,23.54,23.1433,23.2,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-24",22.91,23.08,22.8,23.075,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
"2016-03-28",23.13,23.26,22.98,23.23,22.8,26,23.1,22.7,19.6,29.8,25.1,23.9,30.1,19.5,24,25.9,24.8,26.1,20.6
