"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2018-11-12",26.77,26.78,26.49,26.53,26.6,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-13",26.54,26.76,26.43,26.51,26.6,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-14",26.61,26.8,26.37,26.55,26.6,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-15",26.42,26.81,26.42,26.7,26.6,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-16",26.67,26.83,26.59,26.75,26.6,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-19",26.68,26.75,26.47,26.57,26.6,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-20",26.25,26.34,25.85,25.97,26.6,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-21",26.26,26.63,26.09,26.5,26.6,26.5,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-23",26.26,26.35,26.16,26.17,26.6,26.5,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-26",26.43,26.6,26.3,26.33,26.6,26.5,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-27",26.21,26.33,26.01,26.14,26.6,26.5,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-28",26.18,26.59,26.06,26.58,26.6,26.5,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5,26.6
"2018-11-29",26.55,26.75,26.52,26.63,26.6,26.5,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5,26.6
"2018-11-30",26.41,26.65,26.32,26.62,26.6,26.5,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5,26.6
"2018-12-03",27.15,27.22,26.74,26.91,26.6,26.5,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,26.5,26.6
"2018-12-04",26.81,26.92,26.42,26.45,26.6,26.5,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,26.5,26.6
"2018-12-06",25.93,25.99,25.56,25.98,26.6,26.5,26.4,25.9,26,NA,NA,NA,NA,NA,NA,NA,27.2,26.5,26.6
"2018-12-07",26.06,26.4,25.77,25.81,26.6,26.5,26.4,25.9,26,26.1,NA,NA,NA,NA,NA,NA,27.2,26.5,26.6
