"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",53.24,53.445,53.11,53.16,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-11-23",52.98,53.19,52.96,53.03,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-11-24",53.39,53.85,53.24,53.74,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-11-25",53.77,53.84,53.64,53.73,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-11-27",53.65,53.7,53.38,53.41,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-11-30",52.59,52.845,52.56,52.77,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-01",53.36,53.8,53.32,53.74,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-02",52.8,52.9,52.56,52.76,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-03",52.375,52.375,51.8,52.17,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-04",51.67,52.42,51.54,52.3,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-07",51.4,51.44,50.93,51.1,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-08",50.31,50.59,50.22,50.54,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-10",50.81,50.92,50.53,50.6,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-11",49.91,49.97,49.57,49.65,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-15",50.79,51.045,50.75,50.87,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-16",51.77,52.445,51.54,52.21,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-17",51.19,51.34,50.875,50.89,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-18",51.39,51.555,51.07,51.09,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-22",50.74,51.18,50.74,51.14,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-24",51.09,51.21,51.01,51.09,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-29",51.09,51.11,50.68,50.72,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-30",50.09,50.28,50,50.08,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2015-12-31",49.84,50.04,49.66,49.67,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-04",48.32,48.52,48.03,48.515,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-05",48.88,49.01,48.665,48.72,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-06",47.93,47.96,47.57,47.75,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-07",47.15,47.57,46.95,46.99,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-08",47.315,47.34,46.69,46.73,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-11",47.26,47.4,46.8,47.25,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-12",47.16,47.285,46.8111,47.09,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-13",47.9,47.99,46.87,46.98,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-14",47.15,47.59,46.88,47.49,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-15",45.52,45.83,45.04,45.49,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-19",47.2,47.23,46.555,46.8,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-20",45.34,45.66,44.43,45.34,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-21",45.79,46.41,45.56,45.95,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-22",47.26,47.43,47.03,47.31,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-25",47.3501,47.49,46.66,46.685,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-26",46.78,47.135,46.63,47.12,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-27",47.17,47.41,46.5,46.77,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-28",47.35,47.42,46.95,47.25,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-01-29",47.12,47.78,47.1,47.74,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-02-01",47.32,47.755,47.25,47.61,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-02-02",46.95,46.95,46.13,46.28,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-02-03",46.42,47.25,45.82,47.23,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
"2016-02-04",48.2,48.65,47.96,48.12,50.3,60.6,64.6,71.9,71.6,72.8,46.1,63,45.8,69.5,72,77.5,72.2,64.9,69.9
