"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",38.3,38.59,38.3,38.47,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-11-23",38.19,38.26,37.96,38.045,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-11-24",37.52,38.21,37.52,38.06,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-11-25",37.97,38.06,37.8,37.985,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-11-27",37,37.1,36.81,36.93,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-11-30",36.85,37.44,36.8,37.43,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-01",37.495,37.67,37.45,37.645,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-02",37.7,37.71,37.19,37.31,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-03",37.45,37.46,36.845,37.04,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-04",36.88,37.48,36.88,37.34,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-07",36.97,37.01,36.58,36.79,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-08",35.88,36.27,35.76,36.22,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-09",35.94,36.385,35.74,35.88,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-10",35.61,35.82,35.37,35.52,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-11",34.78,34.89,34.475,34.53,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-14",34.92,35.09,34.51,35.06,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-15",35.57,35.86,35.56,35.64,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-16",36.17,36.48,35.68,36.26,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-17",36.39,36.39,35.78,35.85,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-18",36.07,36.385,35.88,36.175,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
"2015-12-21",35.81,35.865,35.43,35.77,38.6,45.9,52.7,51.9,49.5,45.4,40.4,45.7,44.7,46.1,45.6,45.3,45.2,46.2,28.9
