"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-02-04",42.64,42.94,42.57,42.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-05",43.01,43.55,42.89,43.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-06",43.4,43.49,42.79,42.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-07",42.61,42.87,41.96,42.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-08",42.38,42.49,42.05,42.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-11",42.71,42.79,42.49,42.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-12",42.72,42.79,42.56,42.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-13",43.28,43.32,42.87,43.01,43.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-14",42.72,43.04,42.57,42.87,43.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-15",42.57,42.73,42.47,42.64,43.1,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-19",42.7,43.35,42.7,43.25,43.1,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-20",43.41,43.74,43.38,43.49,43.1,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-21",43.61,43.63,43.34,43.41,43.1,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-22",44.07,44.23,43.95,44.13,43.1,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-25",44.96,45.25,44.91,45.01,43.1,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-26",44.48,44.75,44.4,44.64,43.1,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-27",44.13,44.2,43.87,43.96,43.1,42.5,44.2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-28",43.85,43.88,43.59,43.66,43.1,42.5,44.2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-01",44.35,44.39,44,44.19,43.1,42.5,44.2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-04",44.74,44.74,44,44.41,43.1,42.5,44.2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-05",44.67,45.02,44.53,44.96,43.1,42.5,44.2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
