"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",103.58,103.66,102.97,103.09,101.3,112.6,103.2,112.3,124.2,112.4,111.1,124,107,112.2,101,103.3,109.5,112.5,111.3
"2015-11-23",102.48,102.75,102.16,102.26,101.3,112.6,103.2,112.3,124.2,112.4,111.1,124,107,112.2,101,103.3,109.5,112.5,111.3
"2015-11-24",103.12,103.24,102.69,102.94,101.3,112.6,103.2,112.3,124.2,112.4,111.1,124,107,112.2,101,103.3,109.5,112.5,111.3
"2015-11-25",102.47,102.69,102.22,102.46,101.3,112.6,103.2,112.3,124.2,112.4,111.1,124,107,112.2,101,103.3,109.5,112.5,111.3
"2015-11-27",101.01,101.62,100.99,101.25,101.3,112.6,103.2,112.3,124.2,112.4,111.1,124,107,112.2,101,103.3,109.5,112.5,111.3
"2015-11-30",101.5605,102.38,101.53,101.92,101.3,112.6,103.2,112.3,124.2,112.4,111.1,124,107,112.2,101,103.3,109.5,112.5,111.3
"2015-12-01",102.3,102.43,101.81,102.28,101.3,112.6,103.2,112.3,124.2,112.4,111.1,124,107,112.2,101,103.3,109.5,112.5,111.3
"2015-12-02",101.35,101.35,100.53,100.71,101.3,112.6,103.2,112.3,124.2,112.4,111.1,124,107,112.2,101,103.3,109.5,112.5,111.3
"2015-12-03",101.2,101.97,100.845,101.76,101.3,112.6,103.2,112.3,124.2,112.4,111.1,124,107,112.2,101,103.3,109.5,112.5,111.3
"2015-12-04",102.76,104.21,102.65,104.02,101.3,112.6,103.2,112.3,124.2,112.4,111.1,124,107,112.2,101,103.3,109.5,112.5,111.3
"2015-12-07",103.315,103.37,102.5,102.67,101.3,112.6,103.2,112.3,124.2,112.4,111.1,124,107,112.2,101,103.3,109.5,112.5,111.3
"2015-12-08",103.16,103.2289,102.53,102.84,101.3,112.6,103.2,112.3,124.2,112.4,111.1,124,107,112.2,101,103.3,109.5,112.5,111.3
"2015-12-09",103.6428,103.65,102.32,102.64,101.3,112.6,103.2,112.3,124.2,112.4,111.1,124,107,112.2,101,103.3,109.5,112.5,111.3
