"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-02-11",123.19,123.82,123.19,123.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-12",123.96,124.03,123.61,123.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-13",123.84,124.55,123.31,123.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-14",123.84,124.2,123.53,124.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-15",124.59,125,124.18,124.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-19",125.98,126.79,125.93,126.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-20",127,127.21,126.31,126.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-21",126.15,126.22,125.05,125.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-22",125.53,125.95,125.39,125.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-25",125.78,125.9,125.23,125.38,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,NA,NA,NA,NA,NA
"2019-02-26",125.33,125.62,125.05,125.57,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,NA,NA,NA,NA,NA
"2019-02-27",125.17,125.23,124.4,124.7,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,124.8,124.8,124.8,124.8,124.8
"2019-02-28",124.71,124.71,123.98,124,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,124.8,124.8,124.8,124.8,124.8
"2019-03-01",123.48,123.96,121.87,121.88,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,124.8,124.8,124.8,124.8,124.8
"2019-03-04",121.56,121.85,121.18,121.56,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,124.8,124.8,124.8,124.8,124.8
"2019-03-05",121.38,121.73,121.03,121.72,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,124.8,124.8,124.8,124.8,124.8
"2019-03-06",121.43,121.64,121.26,121.62,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,124.8,124.8,124.8,124.8,124.8
"2019-03-07",121.27,121.71,121.18,121.51,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,124.8,124.8,124.8,124.8,124.8
"2019-03-08",122.7,122.89,122.37,122.83,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,124.8,124.8,124.8,124.8,124.8
"2019-03-11",122.52,122.54,121.92,122.24,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,124.8,124.8,124.8,124.8,124.8
"2019-03-12",122.54,123.03,122.4,122.98,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,124.8,124.8,124.8,124.8,124.8
