"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2018-12-27",93.62,95.15,91.51,95.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-12-28",95.2,96.68,94.36,94.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-12-31",95.86,97.08,95.41,96.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-02",95.26,97.72,95.01,97.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-03",99.7,100.15,97.64,97.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-04",99.12,103.03,99.04,102.63,101.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-07",103.79,106.86,103.68,106.09,101.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-08",107.06,107.08,104.48,106.8,101.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-09",106.95,108.1,106.77,107.48,101.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-10",107,108.99,106.12,108.93,101.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-11",108.44,109.17,107.83,109.04,101.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-14",108.33,108.54,107.14,107.16,101.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-15",107.39,109.29,107.2,109.24,101.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-16",109.35,110.67,108.54,108.64,101.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-17",108,110.52,108,109.79,101.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-18",110.05,110.6,108.85,110.52,101.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-22",109.66,109.85,107.98,108.68,101.4,108.7,108.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-23",108.68,109.78,106.55,107.77,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-24",107.51,108.25,107.24,107.86,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-25",108.4,109.53,107.89,109.4,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-28",108.24,108.45,106.68,107.23,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-29",107.26,107.87,106.56,107.41,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-30",107.25,108.34,106.02,108.21,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-31",108.06,109.88,107.89,109.72,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-01",109.75,110.51,109.13,110.31,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-04",110.33,110.5,109.15,110.2,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-05",110,111.27,109.53,110.06,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-06",110.03,110.56,109.14,109.86,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-07",109.06,109.23,106.63,107.18,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-08",106.81,107.89,106.35,107.84,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-11",107.95,108.49,107.48,108.37,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-12",108.87,109.51,108.46,109.45,101.4,108.7,108.6,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
