"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",144.42,145.18,144.28,144.72,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-11-23",144.61,145.72,144.56,145,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-11-24",144.4111,146.248,144.02,145.98,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-11-25",146.08,146.6455,145.76,146.41,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-11-27",146.38,147.17,145.925,146.9,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-11-30",147.3201,147.44,146,146.16,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-12-01",146.65,147.4,146.43,147.34,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-12-02",147.18,147.5,145.5,145.66,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-12-03",146.16,146.22,142.64,143.25,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-12-04",143.49,145.15,143.24,145.04,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-12-07",144.62,144.74,142.82,143.55,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-12-08",142.32,143.07,141.68,142.57,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-12-09",142.1099,143.6397,140.46,140.87,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-12-10",140.84,142.12,140.57,141.19,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-12-11",139.81,140.4,138.7,139.18,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-12-14",138.96,139.69,137.2525,138.38,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-12-15",139.1,140.15,139.03,139.83,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-12-16",140.54,141.64,139.6131,141.25,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-12-17",141.68,141.68,139.53,139.56,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
"2015-12-18",138.87,139.1,137.57,137.57,165.2,124.7,142.7,178.8,180.3,127.3,141.6,127.4,142.1,194.1,124.9,180.2,202.9,177.6,197.1
