"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-06-13",125.57,125.9,125.28,125.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-14",125.72,125.87,125.27,125.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-17",124.92,125.04,124.58,124.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-18",125.13,126.31,125.13,125.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-19",125.87,126.37,125.64,126.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-20",127.17,127.38,126.25,127.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-21",127.16,127.59,126.9,127.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-24",127.17,127.28,126.74,126.81,126.9,126.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-25",127.03,127.03,126.2,126.25,126.9,126.8,126.7,126.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-26",126.53,126.65,125.81,125.81,126.9,126.8,126.7,126.2,126.1,126,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-27",126.12,126.55,126.05,126.38,126.9,126.8,126.7,126.2,126.1,126,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-28",126.89,127.55,126.87,127.26,126.9,126.8,126.7,126.2,126.1,126,NA,NA,NA,NA,NA,NA,127.1,127.2,127
"2019-07-01",128.69,128.85,127.64,128.21,126.9,126.8,126.7,126.2,126.1,126,NA,NA,NA,NA,NA,NA,127.1,127.2,127
"2019-07-02",128.32,128.39,127.7,128.26,126.9,126.8,126.7,126.2,126.1,126,NA,NA,NA,NA,NA,NA,127.1,127.2,127
"2019-07-03",128.69,129.28,128.58,129.24,126.9,126.8,126.7,126.2,126.1,126,NA,NA,NA,NA,NA,NA,127.1,127.2,127
"2019-07-05",128.88,129.23,128.21,129.16,126.9,126.8,126.7,126.2,126.1,126,NA,NA,NA,NA,NA,NA,127.1,127.2,127
"2019-07-08",128.72,129.07,128.36,128.59,126.9,126.8,126.7,126.2,126.1,126,NA,NA,NA,NA,NA,NA,127.1,127.2,127
"2019-07-09",128.14,128.64,128,128.55,126.9,126.8,126.7,126.2,126.1,126,128.1,128.2,128.3,NA,NA,NA,127.1,127.2,127
"2019-07-10",129,129.35,128.59,128.79,126.9,126.8,126.7,126.2,126.1,126,128.1,128.2,128.3,128.9,129,129.1,127.1,127.2,127
"2019-07-11",129.12,129.25,128.52,129.05,126.9,126.8,126.7,126.2,126.1,126,128.1,128.2,128.3,128.9,129,129.1,127.1,127.2,127
"2019-07-12",129.27,129.73,129.19,129.68,126.9,126.8,126.7,126.2,126.1,126,128.1,128.2,128.3,128.9,129,129.1,127.1,127.2,127
