"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",101.75,102.14,101.62,101.82,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-11-23",101.85,102.31,101.51,101.81,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-11-24",101.25,102.01,100.87,101.83,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-11-25",101.93,102.1499,101.816,101.99,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-11-27",102.11,102.25,101.7201,102.1,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-11-30",102.23,102.2543,101.39,101.4,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-01",101.8,102.43,101.67,102.36,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-02",102.39,102.61,101.45,101.59,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-03",101.82,101.92,99.59,100.07,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-04",100.43,102.32,100.36,102.19,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-07",102.15,102.19,101.14,101.66,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-08",100.78,101.7,100.61,101.39,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-09",101.01,101.86,99.78,100.24,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-10",100.31,101.21,100.1549,100.56,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-11",99.4,99.688,98.385,98.51,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-14",98.66,99.14,97.56,99.12,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-15",99.78,100.324,99.59,99.75,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-16",100.51,101.489,99.86,101.34,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-17",101.56,101.56,99.86,99.89,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-18",99.57,99.57,98.12,98.12,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-22",99.48,99.9232,98.9175,99.78,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-24",100.2,100.47,100.08,100.08,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-29",100.76,101.44,100.6901,101.26,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-30",101.24,101.245,100.49,100.56,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2015-12-31",100.0657,100.48,99.45,99.48,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-04",97.55,97.82,96.72,97.765,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-05",98.1,98.27,97.39,97.91,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-06",96.5283,97.48,96.25,96.9,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-07",95.09,96.14,94.27,94.45,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-08",95.06,95.32,93.36,93.49,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-11",94.08,94.1928,92.36,93.54,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-12",94.33,94.88,93.22,94.46,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-13",94.75,94.84,91.51,91.65,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-14",91.96,93.757,90.74,93.05,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-15",90.705,91.68,90.05,91.21,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-19",92.33,92.345,90.45,91.293,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-20",89.955,91.61,88.07,90.79,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-21",90.97,92.12,90.11,91.07,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-22",92.39,93.21,92.32,93.1,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-25",92.91,93.17,91.83,91.94,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-26",92.23,93.08,91.8,92.87,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-27",92.58,93.12,90.88,91.4,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-28",92.15,92.32,90.75,91.79,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-01-29",91.95,93.86,91.94,93.83,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-01",93.34,94.55,93.1602,94.17,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-02",93.47,93.62,92.22,92.5,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-03",93.04,93.18,91.01,92.74,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-04",92.39,93.34,91.93,92.74,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-05",92.32,92.42,89.98,90.31,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-08",89.0842,89.14,87.45,88.78,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-09",87.81,89.73,87.74,88.88,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-10",89.55,90.6499,89.05,89.15,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-11",87.78,88.9,87.38,88.32,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-12",89.18,89.865,88.66,89.81,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-16",90.95,91.57,90.461,91.53,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-18",93.39,93.44,92.54,92.71,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-19",92.315,92.926,91.98,92.86,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-22",93.6,94.18,93.6,94.1,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
"2016-02-23",93.78,94.03,93.06,93.1,126.8,132.6,153.7,118.1,121,118.3,118.4,154.3,153.9,135.7,135,135.4,134.9,134.8,117.9
