"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-05-03",157.73,158.64,157.5,158.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-06",155.56,158.16,155.31,157.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-07",156.33,156.91,153.7,154.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-08",154.77,155.9,154.32,154.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-09",153.47,154.76,152.37,154.47,152.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-10",153.79,155.47,151.73,154.82,152.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-13",151.35,151.98,149.73,150.26,152.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.6,151.5
"2019-05-14",150.93,152.72,150.63,151.78,152.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.6,151.5
"2019-05-15",150.52,153.74,150.37,153.34,152.6,152.8,153,153.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.6,151.5
"2019-05-16",153.7,155.78,153.6,154.9,152.6,152.8,153,153.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.6,151.5
"2019-05-17",153.49,155.4,153.49,153.7,152.6,152.8,153,153.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.6,151.5
"2019-05-20",152.17,152.87,151.39,152.09,152.6,152.8,153,153.3,152.1,151.5,152.2,NA,NA,NA,NA,NA,NA,151.6,151.5
"2019-05-21",153.21,153.93,153.01,153.58,152.6,152.8,153,153.3,152.1,151.5,152.2,NA,NA,NA,NA,NA,NA,151.6,151.5
"2019-05-22",153.03,153.79,153.01,153.24,152.6,152.8,153,153.3,152.1,151.5,152.2,NA,NA,NA,NA,NA,NA,151.6,151.5
"2019-05-23",151.78,151.81,150.28,151.12,152.6,152.8,153,153.3,152.1,151.5,152.2,151.1,150.9,150.7,NA,NA,NA,151.6,151.5
"2019-05-24",152,152.4,151.06,151.29,152.6,152.8,153,153.3,152.1,151.5,152.2,151.1,150.9,150.7,NA,NA,NA,151.6,151.5
"2019-05-28",151.58,152.43,150.47,150.48,152.6,152.8,153,153.3,152.1,151.5,152.2,151.1,150.9,150.7,NA,NA,NA,151.6,151.5
"2019-05-29",149.71,150.01,148.49,149.42,152.6,152.8,153,153.3,152.1,151.5,152.2,151.1,150.9,150.7,149,148.8,148.7,151.6,151.5
"2019-05-30",149.78,150.52,149.38,150.13,152.6,152.8,153,153.3,152.1,151.5,152.2,151.1,150.9,150.7,149,148.8,148.7,151.6,151.5
"2019-05-31",148.49,149.12,148,148.13,152.6,152.8,153,153.3,152.1,151.5,152.2,151.1,150.9,150.7,149,148.8,148.7,151.6,151.5
"2019-06-03",147.94,148.3,145.21,146.13,152.6,152.8,153,153.3,152.1,151.5,152.2,151.1,150.9,150.7,149,148.8,148.7,151.6,151.5
