"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-05-16",154.51,156.18,154.44,155.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-17",153.82,155.27,152.66,152.86,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-20",151.93,152.82,151.41,151.78,153,151.7,152.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-21",152.63,154.04,152.58,153.88,153,151.7,152.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-22",153.22,153.59,152,152.48,153,151.7,152.8,152.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-23",151.06,151.06,148.58,149.46,153,151.7,152.8,152.5,150.9,150.8,150.4,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-24",150.38,151.09,149.79,150.72,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,NA,NA,NA,NA,NA,NA,NA
"2019-05-28",151.01,151.65,149.62,149.63,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,150,149.9,149.6,NA,NA,NA,NA
"2019-05-29",148.84,148.93,147.36,148.32,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,150,149.9,149.6,148.5,NA,NA,NA
"2019-05-30",148.75,149.58,147.04,147.94,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,150,149.9,149.6,148.5,NA,NA,NA
"2019-05-31",146.17,146.84,145.32,145.96,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,150,149.9,149.6,148.5,NA,NA,NA
"2019-06-03",146.13,147.21,145.33,146.33,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,150,149.9,149.6,148.5,NA,NA,NA
"2019-06-04",147.93,150.29,146.42,150.15,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,150,149.9,149.6,148.5,NA,NA,NA
"2019-06-05",150.76,150.89,148.61,150.14,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,150,149.9,149.6,148.5,NA,NA,NA
"2019-06-06",150.12,150.52,148.31,149.82,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,150,149.9,149.6,148.5,NA,NA,NA
"2019-06-07",150.35,151.51,150.02,150.81,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,150,149.9,149.6,148.5,151.3,151.4,NA
"2019-06-10",151.45,153.14,151.45,151.75,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,150,149.9,149.6,148.5,151.3,151.4,151.9
"2019-06-11",152.89,153.23,150.58,151.28,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,150,149.9,149.6,148.5,151.3,151.4,151.9
"2019-06-12",151.18,151.78,150.62,151.41,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,150,149.9,149.6,148.5,151.3,151.4,151.9
"2019-06-13",152.31,153.18,151.87,153.04,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,150,149.9,149.6,148.5,151.3,151.4,151.9
"2019-06-14",152.88,152.94,151.72,151.77,153,151.7,152.8,152.5,150.9,150.8,150.4,151.1,150,149.9,149.6,148.5,151.3,151.4,151.9
