"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",74.5799,75.17,74.39,75.08,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-11-23",75.11,75.51,74.96,75.22,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-11-24",74.79,75.31,74.26,74.84,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-11-25",74.93,75.28,74.84,75.09,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-11-27",75.14,75.91,74.91,75.7,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-11-30",75.92,76.08,74.99,75.21,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-01",75.41,76.21,75.32,76.14,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-02",75.8,76.035,74.62,74.7,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-03",74.49,74.66,73.4,73.58,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-04",73.8615,75.06,73.6,74.84,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-07",74.66,74.925,74.35,74.64,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-08",74.49,74.76,72.55,74.45,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-09",74.02,74.85,73.6615,74.035,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-10",73.91,74.325,73.49,73.57,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-11",73.28,73.63,72.8,73.24,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-14",72.93,73.54,72.61,73.43,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-15",73.91,74.62,73.79,74.27,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-16",74.57,75.87,74.5,75.69,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-17",75.9,75.9,75.1,75.36,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-18",75.16,75.29,74.37,74.4,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-21",74.88,75.11,74.36,74.77,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-22",75.14,75.495,74.98,75.09,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-24",74.97,75.24,74.61,75,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-28",74.75,75.32,74.57,75.26,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-29",75.49,76.09,75.42,75.995,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-30",75.86,76.13,75.57,75.65,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2015-12-31",75.75,75.77,74.99,75.08,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-04",74.44,74.46,73.574,74.28,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-05",74.33,75.78,74.3,75.57,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-06",75.15,75.44,74.83,75.27,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-07",74.5599,74.64,73.62,73.68,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-08",73.95,74.21,72.64,72.76,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-11",73.0601,73.45,72.78,73.06,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-12",73.52,73.52,72.16,72.55,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-13",72.89,73.31,71.31,71.45,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-14",71.41,71.995,70.81,71.36,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-15",70.45,70.81,69.87,70.535,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-19",70.66,71.4699,70.53,70.78,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-20",70.1,70.19,67.33,68.87,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-21",69.1,70.32,68.695,69.33,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-22",70.01,71.55,69.93,71.28,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-25",71.18,71.73,70.5,70.55,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-26",70.93,72.09,70.91,72.08,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-27",71.81,71.86,70.42,70.94,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-28",71.28,71.54,70.19,70.47,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-01-29",70.73,72.01,70.41,71.96,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-01",71.7,72.6,71.32,72.01,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-02",71.74,71.91,70.92,71.25,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-03",71.61,71.88,70.6,71.61,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-04",71.22,72.08,70.96,71.69,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-05",71.38,71.445,70.03,70.09,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-08",69.405,69.76,67.05,68.02,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-09",67.46,67.58,66.34,66.91,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-10",67.17,68.21,67.13,67.26,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-11",66.27,66.71,65.88,66.27,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-12",66.88,67.279,66.54,67.15,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-16",67.6,68.475,67.43,68.42,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-17",68.75,69.75,68.57,69.07,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-18",69.06,69.89,68.85,69.68,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-19",69.36,70.2,69.14,69.85,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-22",70.42,71.08,70.42,70.66,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-23",70.46,71.19,70.33,70.49,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-24",70.21,70.7,69.74,70.51,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-25",70.89,71.84,70.72,71.8,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-26",71.72,72.14,71.53,71.56,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-02-29",71.47,72.36,71.31,71.47,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-01",71.76,73.38,71.75,73.35,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-02",73.005,73.88,73.005,73.88,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-03",73.9497,74.3,73.57,74.28,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-04",74.02,74.57,73.9,74.44,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-07",74.09,74.77,73.97,74.55,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-08",74.53,74.56,73.71,73.82,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-09",73.98,74.492,73.84,74.12,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-11",74.65,75.7,74.5,75.68,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-14",75.44,75.67,75.15,75.57,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-15",75.19,75.72,75.06,75.58,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-16",75.54,76.62,75.37,76.5,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-17",76.69,77.77,76.37,77.59,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-18",77.82,77.83,77.26,77.29,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-21",77.11,77.45,76.66,76.77,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-22",76.54,76.99,76.33,76.82,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-23",75.93,75.985,75.365,75.37,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-24",75.295,75.48,74.72,75.42,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-28",75.56,76.21,75.37,76.01,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-29",75.8203,77.55,75.8203,77.52,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
"2016-03-30",77.64,77.845,77.34,77.4,69.8,73,73.5,71.6,70,72.7,73.6,72.2,72.4,71.7,72,71.3,72.6,71.5,72.5
