"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2018-08-03",115.29,115.55,115.16,115.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-06",115.59,115.76,115.59,115.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-07",115.59,115.59,115.19,115.23,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-08",115.17,115.23,115.08,115.08,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-09",115.25,115.36,115.09,115.18,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-10",115.1,115.5,115.03,115.38,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-13",115.26,115.38,115.22,115.35,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-14",115.49,115.53,115.41,115.5,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-15",115.65,115.76,115.55,115.69,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-16",115.82,115.89,115.7,115.86,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-17",115.96,116.07,115.88,115.97,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-20",116.25,116.37,116.18,116.26,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-21",116.22,116.22,115.96,115.98,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-22",116.22,116.24,115.95,115.98,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-23",116.14,116.18,115.94,115.99,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-08-24",115.89,116.29,115.85,116.23,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-08-27",116.02,116.16,116.01,116.06,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-08-28",115.87,115.98,115.6,115.64,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-08-29",115.73,115.75,115.41,115.49,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-08-30",115.74,115.81,115.52,115.62,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-08-31",115.81,115.84,115.43,115.47,115.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-09-04",114.86,114.99,114.68,114.9,115.3,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-09-05",114.84,114.88,114.78,114.85,115.3,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-09-06",114.99,115.21,114.95,115.14,115.3,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-09-07",114.76,114.76,114.63,114.65,115.3,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-09-10",114.74,115.03,114.74,115.01,115.3,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-09-11",114.8,114.89,114.72,114.78,115.3,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-09-12",114.97,115.12,114.96,114.99,115.3,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-09-13",115.25,115.33,115.13,115.22,115.3,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-09-14",115.01,115.16,114.95,115.08,115.3,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-09-17",114.91,115.11,114.88,115.01,115.3,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-09-18",114.81,114.81,114.52,114.55,115.3,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-09-19",114.53,114.54,114.23,114.37,115.3,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
"2018-09-20",114.41,114.81,114.39,114.68,115.3,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.3
