"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-05-01",111.32,111.5,111.31,111.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-02",111.31,111.4,111.26,111.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-03",111.38,111.47,111.35,111.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-06",111.63,111.69,111.6,111.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-07",111.69,111.74,111.66,111.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-08",111.78,111.79,111.64,111.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-09",111.93,111.93,111.8,111.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-10",111.93,111.95,111.85,111.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-13",112.15,112.2,112.03,112.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-14",112.16,112.23,112.16,112.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-15",112.42,112.42,112.32,112.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-16",112.32,112.38,112.31,112.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-17",112.48,112.48,112.4,112.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-20",112.44,112.44,112.35,112.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-21",112.33,112.34,112.22,112.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-22",112.28,112.37,112.22,112.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-23",112.36,112.53,112.36,112.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-24",112.45,112.52,112.42,112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-28",112.6,112.6,112.53,112.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-29",112.7,112.72,112.59,112.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-30",112.55,112.68,112.51,112.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-31",112.95,113.04,112.9,112.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-03",112.73,112.88,112.71,112.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-04",112.78,112.82,112.7,112.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-05",112.71,112.77,112.62,112.68,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,NA,NA,NA,NA,NA,NA
"2019-06-06",112.68,112.74,112.56,112.56,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,NA,NA,NA,NA,NA,NA
"2019-06-07",112.9,112.98,112.86,112.87,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,NA,NA,NA,NA,NA,NA
"2019-06-10",112.76,112.81,112.69,112.73,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,NA,NA,NA,NA,NA,NA
"2019-06-11",112.7,112.72,112.67,112.68,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,NA,NA,NA,NA,NA,NA
"2019-06-12",112.66,112.75,112.65,112.71,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,NA,NA,NA,NA,NA,NA
"2019-06-13",112.71,112.8,112.7,112.78,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,NA,NA,NA,NA,NA,NA
"2019-06-14",112.69,112.79,112.67,112.78,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,NA,NA,NA,NA,NA,NA
"2019-06-17",112.71,112.78,112.66,112.77,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,NA,NA,NA,NA,NA,NA
"2019-06-18",112.97,112.97,112.84,112.86,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,NA,NA,NA,NA,NA,NA
"2019-06-19",112.76,112.91,112.71,112.88,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,NA,NA,NA,NA,NA,NA
"2019-06-20",112.96,113,112.93,112.95,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,NA,NA,NA,NA,NA,NA
"2019-06-21",112.89,112.91,112.84,112.87,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,NA,NA,NA,NA,NA,NA
"2019-06-24",112.99,113.03,112.96,113.02,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,NA,NA,NA,NA,NA,NA
