"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",111.69,112.24,111.67,112.12,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-11-23",112.56,112.56,111.1701,111.53,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-11-24",110.84,111.92,110.47,111.67,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-11-25",111.71,111.7599,111.3506,111.48,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-11-27",111.49,111.8675,111.34,111.61,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-11-30",112.03,112.0897,111.4525,111.77,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-01",112.1364,112.8,112,112.77,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-02",112.83,113.3199,112.04,112.17,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-03",112.77,112.78,110.051,110.61,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-04",110.93,113.2503,110.75,113.04,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-07",112.99,112.99,111.83,112.29,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-08",111.22,112.36,110.93,112.1,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-09",111.77,112.2699,109.89,110.42,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-10",110.87,111.46,110.3084,110.68,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-11",109.67,109.67,108.25,108.37,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-14",108.37,108.92,107,108.85,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-15",109.74,110.212,109.3325,109.44,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-16",110.24,111.11,109.252,110.9,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-17",111.36,111.38,109.16,109.21,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-18",109,109.05,107.034,107.04,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-22",108.5,108.96,107.9382,108.81,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-24",109.42,109.6599,109.24,109.31,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-29",109.94,110.9599,109.94,110.65,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-30",110.5358,110.55,109.8,109.8,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2015-12-31",109.87,109.87,108.26,108.36,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2016-01-04",106.31,106.61,104.94,106.61,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2016-01-05",106.96,106.972,105.75,106.1,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2016-01-06",104.56,105.37,103.97,104.66,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2016-01-07",102.52,103.6416,101.25,101.47,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2016-01-08",102.2,102.5,100.29,100.36,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2016-01-11",101.03,101.3799,99.59,101.02,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2016-01-12",101.965,102.3987,100.72,102.08,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
"2016-01-13",102.58,102.85,98.9525,99.2,167,194,101.7,178.6,133.4,117,116.6,169.4,199.2,139.8,165.7,117.8,166.6,101.8,102.3
