"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-02-11",185.82,186.66,184.75,185.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-12",186.42,187.84,186.24,187.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-13",188.57,189.18,187.74,187.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-14",187.39,189.06,187.12,188.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-15",189.93,190,188.76,189.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-19",189.42,190.55,189.19,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-20",190.16,190.99,189.31,190.22,189.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-21",189.87,190.91,189.08,190.18,189.3,189.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-22",191.05,192.76,190.98,192.76,189.3,189.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-25",194.34,194.99,193.55,193.66,189.3,189.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-26",193.11,194.5,193.01,193.94,189.3,189.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-27",193.29,194.1,191.97,193.98,189.3,189.2,192.7,192.5,192.4,192.3,192.2,192.1,NA,NA,NA,NA,NA,NA,NA
"2019-02-28",193.3,194.09,192.81,193.35,189.3,189.2,192.7,192.5,192.4,192.3,192.2,192.1,NA,NA,NA,NA,NA,NA,NA
"2019-03-01",194.86,195,192.99,194.55,189.3,189.2,192.7,192.5,192.4,192.3,192.2,192.1,NA,NA,NA,NA,NA,NA,NA
"2019-03-04",195.42,195.67,191.25,193.51,189.3,189.2,192.7,192.5,192.4,192.3,192.2,192.1,192,191.9,191.8,NA,NA,NA,NA
"2019-03-05",193.75,193.75,192.22,192.85,189.3,189.2,192.7,192.5,192.4,192.3,192.2,192.1,192,191.9,191.8,NA,NA,NA,NA
"2019-03-06",192.83,192.85,191.32,191.58,189.3,189.2,192.7,192.5,192.4,192.3,192.2,192.1,192,191.9,191.8,NA,NA,NA,NA
"2019-03-07",191.06,191.29,189.26,189.91,189.3,189.2,192.7,192.5,192.4,192.3,192.2,192.1,192,191.9,191.8,190.2,190.1,190,189.7
"2019-03-08",187.53,190.01,187.13,189.97,189.3,189.2,192.7,192.5,192.4,192.3,192.2,192.1,192,191.9,191.8,190.2,190.1,190,189.7
"2019-03-11",190.67,194.23,190.67,194.1,189.3,189.2,192.7,192.5,192.4,192.3,192.2,192.1,192,191.9,191.8,190.2,190.1,190,189.7
"2019-03-12",194.56,195.77,193.93,195.08,189.3,189.2,192.7,192.5,192.4,192.3,192.2,192.1,192,191.9,191.8,190.2,190.1,190,189.7
