"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",79.04,79.37,78.81,78.94,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-11-23",79.0496,79.26,78.86,79.02,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-11-24",78.65,79.37,78.51,79.19,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-11-25",79.21,79.37,79.12,79.23,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-11-27",79.25,79.49,79.07,79.365,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-11-30",79.4423,79.5,78.9099,78.92,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-01",79.13,79.57,79.0154,79.51,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-02",79.6,79.638,78.88,78.98,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-03",79.17,79.17,77.83,78.18,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-04",78.44,79.68,78.41,79.58,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-07",79.38,79.51,78.982,79.37,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-08",78.71,79.1199,78.437,78.73,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-09",78.3,79.26,77.72,78.04,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-10",78.1,78.6272,77.9901,78.14,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-11",77.37,77.64,76.89,77.03,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-14",77.04,77.49,76.5,77.48,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-15",77.92,78.25,77.7,77.86,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-16",78.46,79.16,78,79.02,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-17",79.15,79.15,77.9,77.91,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-18",77.71,77.72,76.62,76.63,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-21",77.0962,77.2638,76.6752,77.25,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-22",77.57,78.356,77.36,78.23,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-24",78.45,78.65,78.31,78.39,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-29",78.67,79.1751,78.67,79.03,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
"2015-12-30",79.0207,79.0273,78.535,78.61,75.8,72.9,73.4,76.1,98.4,81.8,73.1,77.4,101.1,75.9,91.8,81.9,101.3,101.4,101.5
