"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",78.55,79.31,78.52,79.22,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-11-23",79.3,79.69,79.11,79.39,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-11-24",78.79,79.13,78.32,78.97,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-11-25",79.01,79.48,79,79.29,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-11-27",79.26,80.23,79.26,79.98,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-11-30",80.36,80.46,79.18,79.39,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-01",79.49,80.52,79.42,80.46,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-02",80.14,80.37,78.73,78.87,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-03",78.61,78.81,77.4,77.61,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-04",77.68,79.29,77.65,79.08,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-07",78.96,79.19,78.52,78.88,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-08",78.61,79.09,78.36,78.8,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-09",78.42,79.1635,77.96,78.36,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-10",78.49,78.75,77.73,77.8,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-11",77.62,78.01,77.17,77.63,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-14",77.77,78.06,77.065,78.02,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-15",78.52,79.26,78.48,78.87,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-16",79.2,80.565,79.07,80.39,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-17",80.51,80.56,79.7811,80.01,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-18",79.97,80.0487,79.08,79.08,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-21",79.69,79.87,78.9601,79.39,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
"2015-12-22",79.76,80.21,79.61,79.71,91.5,76.8,72.6,76.9,72.5,87.5,87.8,72.2,87.7,74.1,72.9,72.7,73.1,86.8,77.2
