"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-04-09",109.26,109.28,108.72,108.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-04-10",109.15,109.32,108.9,109.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-04-11",109.5,109.61,109.01,109.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-04-12",109.95,110.28,109.56,109.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-04-15",110,110.08,109.63,109.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-04-16",110.23,110.34,109.86,110.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-04-17",110.47,110.5,109.66,109.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-04-18",110.09,110.09,109.52,109.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-04-22",109.62,109.96,109.55,109.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-04-23",109.98,110.69,109.81,110.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-04-24",110.51,110.59,110.12,110.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-04-25",109.9,110.22,109.35,109.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-04-26",109.87,110.51,109.83,110.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-04-29",110.56,111.04,110.52,110.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-04-30",111.02,111.36,110.45,111.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-05-01",111.39,111.4,110.4,110.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-05-02",110.34,110.63,109.57,110.16,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-05-03",110.63,111.11,110.51,111.01,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-05-06",109.48,110.78,109.43,110.59,110,109.7,109.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-05-07",109.7,109.81,108.29,108.96,110,109.7,109.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-05-08",108.87,109.38,108.52,108.66,110,109.7,109.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-05-09",107.93,108.65,107.22,108.44,110,109.7,109.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-05-10",108.04,109.32,106.97,109.04,110,109.7,109.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-05-13",107.41,107.62,106.41,106.88,110,109.7,109.8,106.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8
"2019-05-14",107.18,108.23,107.02,107.55,110,109.7,109.8,106.5,NA,NA,NA,NA,NA,NA,NA,NA,108.1,108.2,109.8
"2019-05-15",106.96,108.07,106.74,107.79,110,109.7,109.8,106.5,NA,NA,NA,NA,NA,NA,NA,NA,108.1,108.2,109.8
