"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-03-01",65.6,66.46,65.6,66.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-04",66.69,66.85,65.57,66.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-05",66.67,66.69,65.88,66.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-06",65.81,65.95,65.18,65.51,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-07",65.55,65.6,64.86,65.12,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-08",64.07,64.2,63.3,63.89,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-11",64.37,65.05,64.31,64.89,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-12",65.01,65.65,64.99,65.3,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-13",65.73,66.01,65.46,65.98,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-14",66.04,66.38,65.96,66.05,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-15",65.48,65.71,65.26,65.5,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-18",65.56,66.53,65.56,66.42,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-19",66.75,67.09,65.97,66.24,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-20",66.18,67.42,65.98,66.82,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-21",66.62,67.4,66.48,67.29,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-22",66.68,66.79,65.22,65.48,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-25",65.19,65.61,64.87,65.51,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-26",66.26,66.89,66.08,66.45,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-27",66.47,66.69,65.46,65.98,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-28",65.69,66.3,65.56,66.23,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
"2019-03-29",66.86,67.02,65.9,66.12,65.8,65.8,65.8,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.3,65.3,65.2,65.2,65.2
