"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",44.07,44.215,44.013,44.2,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-11-23",44.19,44.21,43.78,43.94,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-11-24",43.7,44.085,43.52,43.95,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-11-25",43.94,43.96,43.8,43.81,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-11-27",43.86,43.99,43.79,43.91,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-11-30",43.98,44.1023,43.81,43.96,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-01",44.09,44.36,44.045,44.345,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-02",44.39,44.565,44.02,44.07,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-03",44.24,44.3,43.29,43.5,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-04",43.63,44.645,43.54,44.57,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-07",44.48,44.5577,44.14,44.35,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-08",43.9,44.36,43.84,44.25,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-09",44.0511,44.38,43.38,43.61,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-10",43.69,44.0399,43.58,43.71,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-11",43.22,43.33,42.77,42.8,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-14",42.82,43.14,42.345,43.13,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-15",43.4,43.62,43.26,43.32,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-16",43.65,43.985,43.15,43.91,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-17",44.05,44.09,43.21,43.22,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-18",42.88,42.97,42.15,42.155,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-21",42.52,42.63,42.235,42.6,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-22",42.76,42.98,42.56,42.91,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-24",43.3,43.36,43.2,43.25,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-28",43.09,43.25,42.86,43.22,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
"2015-12-29",43.48,43.924,43.48,43.81,46.1,59.8,52.6,74.2,46.2,61.2,42.2,54.5,46,38.3,74,72.3,54.4,52.4,54.6
