"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-03-01",71.42,71.53,70.77,71.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.5,71.5
"2019-03-04",71.64,71.82,70.28,71.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.5,71.5
"2019-03-05",71.03,71.12,70.64,70.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.5,71.5
"2019-03-06",70.81,70.89,70.4,70.49,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-07",70.29,70.35,69.59,69.82,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-08",68.98,69.87,68.84,69.81,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-11",70.11,71.38,70.06,71.32,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-12",71.51,71.98,71.29,71.72,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-13",72.06,72.63,72,72.19,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-14",72.27,72.57,72.14,72.35,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-15",72.36,73.32,72.32,72.98,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-18",73.05,73.49,72.84,73.29,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-19",73.6,73.8,73.16,73.47,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-20",73.37,73.85,72.81,73.25,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-21",73.25,75.25,73.24,75.09,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-22",74.7,75.01,73.28,73.32,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-25",73.12,73.49,72.53,73.01,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-26",73.64,74.11,72.97,73.41,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-27",73.51,73.79,72.34,73.01,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-28",73.2,73.58,72.83,73.29,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
"2019-03-29",73.88,74.03,73.53,74,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,71.5,71.5
