"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",43.31,43.7,43.2,43.39,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-11-23",43.39,43.49,42.92,42.99,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-11-24",42.84,42.985,42.59,42.93,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-11-25",42.78,42.83,42.51,42.67,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-11-27",42.705,42.95,42.7,42.75,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-11-30",42.79,43.13,42.76,42.82,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-01",42.9425,43.25,42.75,43.16,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-02",43.01,43.06,42.19,42.2,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-03",42.06,42.14,41.74,41.88,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-04",42.06,42.53,42.01,42.47,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-07",42.37,42.68,42.1701,42.655,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-08",42.49,42.66,42.26,42.585,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-09",42.38,43.06,42.28,42.61,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-10",42.52,42.54,41.87,41.91,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-11",41.66,42.13,41.5,41.79,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-14",41.8,42,41.505,42,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-15",42.06,42.59,42.035,42.335,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-16",42.55,43.47,42.5,43.4,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-17",43.441,43.73,43.1577,43.49,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-18",42.83,42.9,42.18,42.51,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-21",42.61,42.78,42.26,42.505,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-22",42.54,42.95,42.21,42.84,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-24",43.47,43.6,43.38,43.47,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-29",43.7628,43.94,43.7062,43.78,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-30",43.84,43.94,43.66,43.74,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2015-12-31",43.7199,43.7292,42.89,43.28,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2016-01-04",43.02,43.2,42.67,43.18,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2016-01-05",43.09,43.61,42.555,43.51,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
"2016-01-06",43.17,43.6,43.07,43.43,56,45.3,43.1,45.5,45.8,42.4,42.3,42.6,45.4,46,52,52.1,55.9,42.2,42.9
