"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",80.71,81.23,80.71,81.23,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-11-23",81.35,81.85,81.205,81.53,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-11-24",80.79,81.6,80.52,81.36,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-11-25",81.48,81.9,81.48,81.77,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-11-27",81.73,81.78,81.13,81.47,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-11-30",81.62,81.68,80.695,80.78,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-01",81.2,81.64,80.985,81.595,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-02",81.67,81.69,80.74,80.88,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-03",81.24,81.24,79.33,79.68,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-04",79.96,81.32,79.78,81.22,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-07",81.02,81.22,80.32,80.88,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-08",80.24,81.04,79.99,80.64,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-09",80.3,81.07,79.23,79.61,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-10",79.72,80.38,79.54,79.88,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-11",78.8887,79.13,77.9,78.06,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-14",78.23,78.6325,77.26,78.46,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-15",79.245,79.64,78.8331,78.89,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-16",79.44,80.365,78.8,80.21,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-17",80.43,80.43,78.89,78.89,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-18",78.34,78.45,77.33,77.33,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-22",77.96,78.44,77.68,78.23,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-24",78.71,78.73,78.42,78.48,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-29",79.16,79.71,79,79.59,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-30",79.51,79.55,78.93,78.965,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2015-12-31",78.6874,79,78.15,78.1608,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-04",76.78,76.84,75.98,76.82,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-05",77,77.145,76.17,76.72,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-06",75.51,76.37,75.42,75.97,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-07",74.605,75.7099,74.235,74.39,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-08",75.015,75.33,73.45,73.6,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-11",74.05,74.49,73.11,74.21,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-12",74.78,75.45,74.14,75,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-13",75.2,75.21,72.33,72.47,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-14",72.58,73.645,71.25,73,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-15",71.01,71.98,70.67,71.5,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-19",72.29,72.615,71.04,71.78,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-20",70.79,71.76,68.94,71.14,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-21",71.31,72.91,71,72.05,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-22",73.05,73.59,72.855,73.31,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-25",73.43,73.495,72.3899,72.47,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-26",72.88,73.68,72.38,73.53,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-27",73.4,73.88,72.0433,72.38,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-28",73.27,73.51,72.01,73.29,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-01-29",72.82,74.18,72.67,74.11,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-01",73.72,74.86,73.325,74.55,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-02",74.1789,74.28,72.85,73.11,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-03",73.58,73.84,71.52,72.91,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-04",72.67,72.87,71.87,72.49,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-05",72.18,72.22,69.96,70.16,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-08",69.26,69.39,67.61,68.8,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-09",67.93,69.49,67.795,68.69,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-10",68.7,69.755,68.54,68.57,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-11",67.59,68.96,67.59,68.53,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-12",69.28,69.82,68.63,69.78,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-16",70.88,71.5,70.4,71.48,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-18",73,73.01,72.295,72.54,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-19",72.11,72.76,71.65,72.74,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-22",73.5,74.255,73.33,74.125,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-23",74.14,74.46,73.535,73.73,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-24",72.94,74.29,72.31,74.17,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-25",74.34,74.91,73.83,74.91,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-26",75.25,75.38,74.68,74.83,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-02-29",74.7781,75.43,74.44,74.44,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-03-01",75.25,76.475,74.84,76.41,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-03-02",76.3,76.41,75.8,76.34,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
"2016-03-03",76.22,76.8,76.01,76.79,103.4,75.8,101.2,102.2,74.9,100.4,100.5,101.5,101.3,99.5,115.6,102.8,100.7,77.8,100.9
