"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2015-11-20",16.26,16.3,15.7,15.72,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-11-23",15.77,15.97,15.55,15.6,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-11-24",15.71,16.1,15.57,16.04,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-11-25",15.9,16.22,15.81,16.07,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-11-27",15.92,15.97,15.81,15.94,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-11-30",16.0309,16.22,15.819,16.08,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-01",16.17,16.4,16.07,16.37,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-02",16.29,16.44,15.98,16.04,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-03",16.12,16.23,15.8515,15.95,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-04",16.02,16.22,15.88,16.16,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-07",15.92,15.948,15.34,15.46,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-08",15.22,15.36,15.03,15.18,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-09",15.36,15.68,15.19,15.37,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-10",15.32,16.03,15.32,15.79,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-11",15.57,15.57,15.2,15.25,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-14",15.18,15.31,14.77,14.82,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-15",14.98,15.14,14.58,14.69,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-16",14.73,14.91,14.6,14.86,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-17",14.6,14.68,14.35,14.45,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-18",14.48,14.62,14.36,14.44,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-21",14.64,14.79,14.43,14.6099,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-22",14.65,15.23,14.6,15.17,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-24",15.59,15.85,15.5,15.71,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
"2015-12-29",15.395,15.49,15.095,15.33,15.3,27,26.9,19,22.4,19.3,19.4,33.1,14.2,18.8,14,15.4,15.5,14.1,14.3
