"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-02-19",30.55,31.21,30.55,31.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-20",31.3,32.06,31.3,31.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-21",31.85,31.94,31.57,31.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-22",31.98,32.35,31.75,31.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-25",31.91,31.91,31.55,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-26",31.71,31.92,31.61,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-27",31.69,31.83,31.35,31.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-28",31.46,31.46,30.86,30.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-01",31.16,31.33,30.83,31.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-04",31.08,31.16,30.51,30.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-05",31.01,31.01,30.72,30.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-06",30.84,30.99,29.85,29.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-07",29.79,29.85,29.25,29.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-08",29.01,29.09,28.67,28.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-11",28.91,29.42,28.78,29.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-12",29.55,30.04,29.55,29.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6
"2019-03-13",30.04,30.25,30,30.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6
"2019-03-14",29.94,29.94,29.53,29.54,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6
"2019-03-15",29.41,29.81,29.37,29.58,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6
"2019-03-18",29.71,30.04,29.67,29.8,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6
"2019-03-19",30.16,30.21,29.67,29.77,29.6,29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6
"2019-03-20",29.8,30.01,29.07,29.75,29.6,29.7,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6
"2019-03-21",29.71,30.4,29.7,30.29,29.6,29.7,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.1,NA,29.6
"2019-03-22",30.02,30.1,29.04,29.09,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,NA,30.1,NA,29.6
"2019-03-25",29.11,29.49,28.89,29.13,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,NA,30.1,NA,29.6
"2019-03-26",29.38,29.59,29.06,29.36,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,NA,30.1,NA,29.6
"2019-03-27",29.41,29.58,29.1,29.47,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,NA,30.1,NA,29.6
"2019-03-28",29.54,29.62,29.23,29.55,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,NA,30.1,NA,29.6
"2019-03-29",29.87,30.15,29.63,29.71,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,NA,30.1,NA,29.6
"2019-04-01",30.21,30.49,30.05,30.22,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,NA,30.1,30.2,29.6
"2019-04-02",30.24,30.27,29.8,30.03,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,NA,30.1,30.2,29.6
"2019-04-03",30.46,30.59,30.03,30.15,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-04",30.18,30.65,30.02,30.64,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-05",30.66,30.95,30.59,30.9,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-08",30.9,30.98,30.67,30.98,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-09",30.82,30.83,30.1,30.19,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-10",30.24,30.33,30.02,30.27,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-11",30.11,30.17,29.63,29.78,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-12",30,30.13,29.69,29.83,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-15",29.79,29.9,29.44,29.71,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-16",29.74,29.94,29.62,29.86,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-17",30.01,30.32,29.78,29.86,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-18",29.66,29.8,29.22,29.3,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-22",29.22,29.31,28.73,29,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-23",29.04,29.65,29.03,29.51,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-24",29.48,29.51,29.28,29.35,29.6,29.7,29.5,29.4,29.2,29.1,NA,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-25",29.41,29.44,28.64,28.68,29.6,29.7,29.5,29.4,29.2,29.1,28.8,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-26",28.71,29.12,28.7,29.05,29.6,29.7,29.5,29.4,29.2,29.1,28.8,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-29",29.09,29.1,28.79,29.09,29.6,29.7,29.5,29.4,29.2,29.1,28.8,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-04-30",29.06,29.06,28.7,28.83,29.6,29.7,29.5,29.4,29.2,29.1,28.8,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-05-01",28.85,28.96,28.08,28.11,29.6,29.7,29.5,29.4,29.2,29.1,28.8,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-05-02",28,28.3,27.7,28.1,29.6,29.7,29.5,29.4,29.2,29.1,28.8,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-05-03",28.44,29.28,28.4,29.22,29.6,29.7,29.5,29.4,29.2,29.1,28.8,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-05-06",28.54,29.05,28.49,28.93,29.6,29.7,29.5,29.4,29.2,29.1,28.8,NA,NA,NA,NA,30.6,30.1,30.2,29.6
"2019-05-07",28.74,28.84,28.3,28.5,29.6,29.7,29.5,29.4,29.2,29.1,28.8,NA,NA,NA,NA,30.6,30.1,30.2,29.6
